Issue Number;Title;State;Created At;Updated At;URL;comments;body
851;"From today, has ""lost"" all my subscriptions, history, channels etc.";open;2021-08-30T23:39:20Z;2023-05-15T19:27:57Z;https://github.com/yuliskov/SmartTubeNext/issues/851;28;"I last updated the app Yesterday on my Sony TV.

Playlist, History, and Channels are all plain black today, Subscriptions says ""Oops. Can't load content. Try to login again via settings"".

I updated the app again just now (to Beta 12.41), and it's still saying the same thing.  I rebooted my TV - same problem.
Running the real Youtube app still works OK (subscriptions etc show properly).

I still have the old ""Smart Youtube TV"" app installed as well - web_20210829_10_RC00 - which is a curious version, since I've not updated that since I installed more than a month ago. It's still showing all my subscriptions etc fine (although playing ads) 

Something internally must be broken with the latest version(s).

Additionally - I created a new youtube account and logged in to that - same problem as above (the ""Oops."" error).
Note that the error says ""Try to login again via settings"" - but there is no way in the settings I can see to do that (this is also a new account, so it's clearly not a login problem really).

I also did, in the ""Settings"" under ""Accounts"", the option ""Select on  boot"" - so when I start the app, I can now select one of the 2 accounts I've got each time - presumably this will ""log in"" to that - but it's still showing black-screens for Playlist, History, and Channels and ""Oops"" on subscriptions every time for both accounts."
627;Smartyoutube Next is not working;open;2021-05-20T03:53:51Z;2023-05-24T14:48:10Z;https://github.com/yuliskov/SmartTubeNext/issues/627;28;"Smartyoutube Next is not working. Black screen when playing video. 
All version is not working( Android 4., 7.,9.)
Can you  help me to fix this problem?
Thanks
"
622;error building...;open;2021-05-14T15:47:50Z;2022-06-18T18:26:55Z;https://github.com/yuliskov/SmartTubeNext/issues/622;28;"Task :smarttubetv:compileStorigDebugJavaWithJavac FAILED
/home/mido/Documents/SmartTubeNext/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/ui/mod/leanback/surfacefragment/TextureViewWrapper.java:14: error: package com.liskovsoft.smartyoutubetv2.tv.ui.mod.leanback.tmp.surface.textureview does not exist
import com.liskovsoft.smartyoutubetv2.tv.ui.mod.leanback.tmp.surface.textureview.TextureViewSurfaceHolder;
"
1276;"Only certain videos won't play - error message reads ""video source isnt working or incorrect time""";open;2022-01-29T15:44:48Z;2023-07-26T10:04:52Z;https://github.com/yuliskov/SmartTubeNext/issues/1276;26;"Only certain videos won't play - error message reads ""video source isn't working or incorrect time""
App is up to date, nvidia shield pro 2019
videos that produce issue:
https://www.youtube.com/watch?v=eg3Jcv-a0cI
https://www.youtube.com/watch?v=nAmfCdnucWs"
2115;Feature request: Hide shorts from channels;open;2023-01-08T04:48:06Z;2023-04-26T18:21:34Z;https://github.com/yuliskov/SmartTubeNext/issues/2115;24;Thank you for the great work. Please add an option to hide shorts from channels, similar to the option to hide shorts from subscriptions, history and home. Thanks again.
1745;subtitle...automatically translate;open;2022-08-03T19:30:57Z;2022-12-21T01:03:56Z;https://github.com/yuliskov/SmartTubeNext/issues/1745;24;"can we have the option automatically translate subtitle...Like youtube desktop !
thank you for all
"
1724;For 16:10 monitors/displays, custom aspect ratio options, especially 16:8.1 (1.9753:1) needed!;open;2022-07-28T17:11:37Z;2023-07-28T03:04:20Z;https://github.com/yuliskov/SmartTubeNext/issues/1724;24;"**SmartTube version:** 15.30
**Device:** X96 Air S905X3 Android TV Box (Android 9 Pie)
**Monitor:** Samsung SyncMaster 933NW+, 19"" 1440x900, 16:10  (with a HDMI to VGA active converter)
**Sample Test Video:** Youtube video named ""FULL HD PM5644 test pattern - 1920 x 1080 60p - 1 Hour with 1Khz sound.""

**Problem:** On 16:10 monitor, standard 16:9 youtube videos seem distorted, as vertically stretched and not proportional.
**Probable solutions:** Adding custom aspect ratio option for editing, or at least a preset AR as **16:8.1 (1.9753:1)** would solve most probably.

I still use an ancient 19"" 16:10 1440x900 VGA Samsung monitor with a Windows PC and a X96 Air S905X3 Android TV Box. When i watch standard 16:9 youtube videos on Firefox on windows PC, the image is proportional and very well scaled. Of course there are approximately ~13mm black bars on top and bottom of the display, which is totally normal and expected. The photo below shows this situation, as you may see the circles, squares are totally scaled:

![000 Windows PC Firefox Duzgun](https://user-images.githubusercontent.com/67484569/181565008-884b5912-61af-4abc-8829-8e6f2d73677f.jpg)

But when i use this same 16:10 monitor on Android TV Box, the YT videos are full screen with no black bars on top and bottom, so the image is NOT proportional and NOT well scaled.  This is also expected, because Android TV Box outputs only 16:9 resolutions such as 1920x1080 or 1280x720. There's no option to select a 16:10 output such as 1440x900 or 1280x800 etc. The vertically stretched image can be seen on the photo below (the distorted figures are obvious):

![010 X96 Air SmartTube Bozuk](https://user-images.githubusercontent.com/67484569/181572167-bf0530d8-f71a-49a2-9fc7-8b9872fda254.jpg)

Then, how will we solve this problem? I know that a lot of people -want to- use their 16:10 monitors with their android Tv Boxes, mostly with HDMI to VGA converters, like me. I searched the web for a probable usage of custom resolutions on android tv boxes, at least with the rooted ones, but to NO avail. So i think the only solution will be using different aspect ratios for the videos. This will not solve the distorted images on TV Box menus, applications, games etc., but we can achieve well scaled images on videos, films at least.

So i checked the Aspect Ratio presets on the SmartTube app, but the available AR options are not the required one for 16:9 videos on 16:10 displays. Yes, there's a ""16:10"" option, but this is for the internal video scaling, just like the others. Choosing it makes an opposite effect on the display and we have black bars on the left and right sides, not up and down, the image seems squeezed from the sides. Choosing a bigger value like ""2.21:1"" makes a higher change than the required, and makes the image more squeezed vertically, the black bars become more wider than needed.

**Then, we need a proper aspect ratio. I think it can be calculated as follows:**
16:10 AR is 10/9=1.1111... times bigger vertically than the 16:9 AR.
To make the opposite effect on the image, we need to divide 9 with that result:
9/1.1111...=8.1

**So we need a custom aspect ratio of ""16:8.1"" (which is also ""1.9753:1"")**

After calculating this result, i checked it with the 2 different android apps; MX Player and KODI.

**MX Player** doesn't have a ""16:8.1"" preset, but has a ""Custom"" option in ""Aspect Ratio"" setting. Editing ""Custom Aspect Ratio"" as ""16:8.1"" (or ""1.9753:1"") fixes the 16:9 video distortion on 16:10 monitor. I get the 13mm thick black bars both on top and bottom of the screen on this particular 19"" 1440x900 monitor, just like the situation in windows PC:

![021 X96 Air MXPlayer AR-16-8 1 Duzgun](https://user-images.githubusercontent.com/67484569/181584390-b4b06bd4-dd34-4fd9-8a0d-7bd4ed68b635.jpg)

**KODI** doesn't have a ""16:8.1"" preset, either. And i couldn't find other AR parameters or a custom AR option. But KODI has a ""**Pixel ratio**"" option in ""Video settings"". Setting ""Pixel ratio"" to ""1.11"" fixes the 16:9 video distortion on 16:10 monitor, on Android Tv Box:  (I guess this ""Pixel ratio"" option may be a universal solution for appropriate image scaling on non-standard displays, I'm not sure though.)

![031 X96 Air Kodi PR-1 11 Duzgun](https://user-images.githubusercontent.com/67484569/181589146-c9e4d87a-af27-4e35-8da7-24d8466460c6.jpg)


So, long story short:
@yuliskov 
Please find a proper solution to this relatively significant inconvenience :

* Add a ""**16:8.1**"" (""1.9753:1"") preset to the Aspect Ratio parameters, at least.
or
* Add a ""**Custom Aspect Ratio**"" to the AR options, where we can enter some specific parameters such as ""16:8.1"" (""1.9753:1"").
or
* Add a ""**Pixel ratio**"" option in video settings, where we can enter some specific values such as ""1.1111"" . (Just like in KODI)
or
* **???**

**Thanks a lot for your efforts on this great application! And thanks to all contributors!**"
1767;Google account Playback not working v15.78;open;2022-08-11T23:48:44Z;2022-08-12T18:38:24Z;https://github.com/yuliskov/SmartTubeNext/issues/1767;20;"Hi all
Playback fixed thanks 👍"
1007;Is 'Add to Watch later' new additional menu really needed?;closed;2021-10-26T03:16:18Z;2021-12-01T08:35:02Z;https://github.com/yuliskov/SmartTubeNext/issues/1007;20;"Please consider reverting 'Add to Watch Later' additional menu from SmartTubeNext 13.31. 
This looks like a redundant setting which annoyingly increased the number of keypressing with additional steps, when you need to choose another playlist. It gets even more disturbing when you need to switch playlists for a video. 

Here's my point:
Normally, prior to this modification, accessing 'Add/Remove from playlist' (from player button or context menu) gets you directly to playlist checklist anyway - where you just have to set or remove ""Watch Later"" playlist - because it's always the first one on the checklist. Is just that simple, and should be enough for this setting. Is almost as short as it can be. One press for the player button and two for the context menu. 
Adding an extra ""Add/Remove to watch later"" now, has no major benefits as shortcut, cause its practically the same number of minimum keypresses (in player).  Instead it's making the access to other lists one more extra menus and selection away every time.
Please reconsider this. It was just fine before this change. 
Thanks


"
667;Unable to link the device;open;2021-06-12T10:00:09Z;2022-08-05T23:04:00Z;https://github.com/yuliskov/SmartTubeNext/issues/667;20;Unable to link the device, everytime I enter the code on my phone YouTube app it shows ! mark. Hence I'm unable to cast phone YouTube video to TV.
2587;[BUG] Persistent video playback errors, all versions;closed;2023-06-01T16:32:23Z;2023-06-15T18:25:20Z;https://github.com/yuliskov/SmartTubeNext/issues/2587;19;For the past two or three days, there is a message on every video that the source is unavailable or at the wrong time.  The video pauses for a few seconds and then comes back on and then does the same thing again after a while.  Version 18.12, but in earlier versions too.
2352;Video source isn’t working or incorrect time;open;2023-03-27T01:24:37Z;2023-06-25T14:58:47Z;https://github.com/yuliskov/SmartTubeNext/issues/2352;19;I’m getting this error at least once per video. Device I’m using is Nvidia shield TV
1893;painful slow loading works fine with VPN  ... ISP?;open;2022-09-26T17:47:41Z;2023-02-05T17:14:48Z;https://github.com/yuliskov/SmartTubeNext/issues/1893;19;"randomly slow loading of menu minutes at a time problems with login in
almost like the connection is being randomly dropped 
but no issue on the other apps or default youtube 
i'm in the uk
- used different DNS
- defaulted back to isp router from pfsense
- uninstalled and reinstalled app stable and beta old and new
- ran it on multiple fire tv 4K sticks

what worked was running it through a VPN 
it must be my ISP Virgin Media 
but the funny thing is everything else works including the YouTube but not this app
I'm guessing something might be blocked at the ISP level

I guess there is nothing which  the developer can do unless it's a funny bug to do with TTL something like that
just hope the Post help somebody else
if anybody needs more info feel free to post
"
1263;Error occured pop up on firestick even when not using smartube;open;2022-01-26T23:07:48Z;2022-01-29T16:50:56Z;https://github.com/yuliskov/SmartTubeNext/issues/1263;19;"Getting this popup on firestick 4K, even when not using smart tube

![9766AB5A-0D16-4CCA-B922-B415217C8B9F](https://user-images.githubusercontent.com/86478803/151262221-2befe533-8be5-4e06-89ec-8d4210cd7dd5.jpeg)

"
2637;Still not solved the video source error;closed;2023-06-20T14:35:00Z;2023-08-29T05:46:08Z;https://github.com/yuliskov/SmartTubeNext/issues/2637;18;"It continues appearing the alert ""The video source isn't working or incorrect time"", and sometimes appears a new one ""Loadsuggestions error: fromNullableresult is null"", I have the last 18.27 stable version."
677;black screen when playing video;closed;2021-06-17T22:20:04Z;2021-06-18T12:36:32Z;https://github.com/yuliskov/SmartTubeNext/issues/677;18;"Hi there,

The app has been working flawlessly for very long, today after watching a video the player went black with just the title showing. I played with the settings and doesn't seem to get back to normal.

any way to solve this?

Thanks"
139;HDR Not Working;closed;2020-11-13T23:38:48Z;2023-02-18T00:35:01Z;https://github.com/yuliskov/SmartTubeNext/issues/139;18;"Whenever selecting an HDR video format, playback stops, despite devices supporting it. This seems to happen at all resolutions/framerates when HDR is selected.

Device: Shield 2019
TV: LG CX"
2415;"""Video source isn't working or incorrect time""";closed;2023-04-16T15:15:53Z;2023-07-28T13:02:15Z;https://github.com/yuliskov/SmartTubeNext/issues/2415;17;As of today, have been getting this error popping up again! Leaving the video running, it goes to a black screen and sometimes reloads after a pause. I did have an update, Beta 17.67, today, but was happening before this.
2381;Playback option defaults after update;closed;2023-04-08T09:04:58Z;2023-04-11T16:11:23Z;https://github.com/yuliskov/SmartTubeNext/issues/2381;17;The last approx 4 updates to STN beta  (currently on 17.61) have reverted my default playback option to play videos continuously rather than keeping my previous setting of stop playback after one video.  This jas happened in much earlier builds but was fixed quickly, and now appearing again.  As far as I can tell this is the only option that changes after an update.  
1511;Lots of buffering and videos not playing;open;2022-05-11T15:10:48Z;2022-09-05T07:36:29Z;https://github.com/yuliskov/SmartTubeNext/issues/1511;17;"I am using an Nvidia Shield with both SmartTube and STN Beta both installed and am having the same problems on both.

This started about a month ago, before this everything was just fine.  I typically play my videos with 1.5-2x speed, depending on the content producer.  Now my videos are constantly buffering if they play.  Many times the video will just hang on the loading screen.  Sometimes I can restart the video and it will work, most of the times it will not.  I have changed my video settings since I saw that some videos were running in 2160p, I went to the 1080p vp9 since I do not need 4k and thought it could be a problem with the bandwidth being too much (it shouldn't be 200mbps on ethernet and I never had a problem until about a month ago).

I have reinstalled the app, reset data.  Done updates.  These problems have happened in the past but an update usually takes care of them really fast.  So I was wondering if anyone else is having this problem or what is going on?

Thanks "
1264;Error message while in another app;closed;2022-01-27T05:43:58Z;2022-02-06T23:15:19Z;https://github.com/yuliskov/SmartTubeNext/issues/1264;17;"I was watching a movie in HBOMax and an error message mentioning a log file came up a few times. I ignored it for the time being. When I loaded back into STN stable 13.81 I got it again. Took some doing but finally got a copy of the file that I could submit
[ModernClientData.txt](https://github.com/yuliskov/SmartTubeNext/files/7947890/ModernClientData.txt)

Fire TV OS 7.2.6.8

"
686;App closing down and returning to home screen every time a video ends;open;2021-06-18T17:51:54Z;2021-06-27T00:58:33Z;https://github.com/yuliskov/SmartTubeNext/issues/686;17;"I'm on CCWGTV with version 11.37. Did an update this morning, and now every time a video finishes in the app, it shuts down and returns to the home screen of the CCWGTV. It opens back up fine and plays videos without issue (before the update I was having the ""videos not playing issue"" reported here, where when I opened the video, it would simply sit there, black, at 0:00 and not play - this was apparently fixed, at least for me, by the update), but it's very odd and quite off-putting when you're watching through a playlist on auto-play. "
681;11.37 stopped working on all the devices;open;2021-06-18T10:41:52Z;2021-06-21T06:31:33Z;https://github.com/yuliskov/SmartTubeNext/issues/681;17;It displays everything fine in terms of the screen interface. However when we go into any video it does not play. However the video interface looks fine but the play/stop does nothing so we can't watch any video. It is happening on my smartTV and laptop with bluestack.
611;Issues with playback;open;2021-05-04T19:34:23Z;2022-02-02T02:38:51Z;https://github.com/yuliskov/SmartTubeNext/issues/611;17;Problems launching video. States 'cannot download video'. Videos that are launched will suffer periodic freezes. Cache cleared. Reinstalled. No issue launching app. Possible decoder issues? I know you said this version was a little unstable.
104;4k 60fps lag and the frame was not smooth;closed;2020-11-08T01:26:30Z;2021-11-27T03:44:22Z;https://github.com/yuliskov/SmartTubeNext/issues/104;17;The device that I use is a Sony 55x7000d TV
1794;No options to hide Shorts in my subscriptions section (STN Beta 15.81);open;2022-08-17T12:24:27Z;2023-07-26T23:06:33Z;https://github.com/yuliskov/SmartTubeNext/issues/1794;16;No options to hide Shorts in my subscriptions section
1506;Add/Remove from recent playlist is confusing now;closed;2022-05-09T01:32:05Z;2022-06-19T15:26:10Z;https://github.com/yuliskov/SmartTubeNext/issues/1506;16;"So before the update, the option would have either ""Add to 'Recent playlist'"" or ""Remove from 'Recent Playlist'"" which let users know if videos were already added

But now, whether a video is in a recent playlist or not it will only have ""Add/Remove from 'Recent playlist'"" and you wouldn't know if that video was added or removed"
486;"""Repeat current video"" plays only twice following with permanent loading circle-sign.";closed;2021-02-20T21:39:22Z;2021-02-24T19:15:13Z;https://github.com/yuliskov/SmartTubeNext/issues/486;16;"""Repeat current video"" plays only twice following with permanent loading circle-sign."
236;Add touch screen controls and screen scaling.;open;2020-12-05T09:20:28Z;2022-12-11T07:34:44Z;https://github.com/yuliskov/SmartTubeNext/issues/236;16;Great app to watch on TV I would like to see support for devices without a control panel, with a touch screen. On tablets and smartphones. The function of scaling the image for non-standard displays is missing.Good luck with the development of the project. 
729;Not working;open;2021-07-01T00:20:31Z;2021-07-01T05:47:25Z;https://github.com/yuliskov/SmartTubeNext/issues/729;15;"Like the other day, the app loads the interface, but refuses to play anything.
Running on MiBox S on 2 different TVs. Was working fine on our living room TV, but not on our bedroom TV. Tried to restart the device, as well as force quitting and clearing data, but no dice.
Restarted living room device and now have the same problem there as well.

**Update 11.47 fixes issue**"
652;The app does not record watched video into the history ;open;2021-06-04T10:18:58Z;2021-06-19T12:03:14Z;https://github.com/yuliskov/SmartTubeNext/issues/652;15;When I play a video in the app it doesn't record that I've watched the video in the History section. I think the issue is that the request for /api/stats/playback has changed and probably need to add some new parameter into the request to be able make a record. Same applies for  /api/stats/watchtime request. I hope the info has helped :)
2382;Do not recommend channel feature missing;open;2023-04-09T00:30:42Z;2023-08-22T12:08:00Z;https://github.com/yuliskov/SmartTubeNext/issues/2382;14;"I saw that in the Change Log of this latest update, 17.61, there is a new feature: ""New context menu item: Do not recommend channel""

Where is it? How does it work? Where do I go to be able to use it?

Device: FireTV"
1908;Simpler Closed Captions (subtitle) selection;open;2022-10-05T22:41:13Z;2023-05-26T03:29:44Z;https://github.com/yuliskov/SmartTubeNext/issues/1908;14;"To make the closed captions (subtitle) selection experience much better please consider adding:
1. Removing the multiple menus one must go through to select sub language and make sub language the first option to show up when clicking on the button with a fast on/off option accessible in the list
2. Remember subtitle selection between videos instead of having to re-enable per-video
3. Add support for the TEXT button on remotes (as with YT app)

Subtitles are an important and useful accessibility and general usability feature and it would be great for this fantastic app to have better support for them."
1587;Youtube History not showing more than 1 day. STN Beta issue;closed;2022-05-31T17:00:11Z;2022-10-13T18:41:22Z;https://github.com/yuliskov/SmartTubeNext/issues/1587;14;"Strange thing: Suddenly, Youtube History not showing more than 1 day of records (Today), on my account. So I cannot see any history older than Today, in any circumstance. Except from Google settings management account. So, the full history is present.
This is happenning to both STN beta/stable apps, but also at any YT app or platform. Including official app, web or mobile interface. Only today history shown, and not a single item older. So this may not be related to STN !    BUT....

This started to happen exactly right after I made a search in STN with ""Today"" selected as a filter (for the first time ever).  Google history account logs shows that right after this filtered (SmartTube made) specific search, no records of Youtube history are kept for more than one day. It's already been a week since then, no improvement.

@yuliskov , please - any ideea if SmartTube search setting time filter interval could be linked to other YT functions?
Tried a lot of workarounds, running out of options/ideas.....
Thanks"
1262;"Error - Notification ""moderndataclient"" file for support";open;2022-01-26T22:42:34Z;2022-01-30T06:13:07Z;https://github.com/yuliskov/SmartTubeNext/issues/1262;14;"Hello, 
Since 2022/01/26 I am getting an error asking to send some ""modernclientdata"" file for support. I have the latest beta version 14.04 of STN installed on my AmazonTV Firestick.

The app is still running fine, but the notification appears very frequently and it's very annoying: it pops up even when playing videos on other apps from FireTV, like the movie player of Amazon Prime itself.

Here a picture of the full notification message:

![-5157131906104535529_121](https://user-images.githubusercontent.com/19991117/151258662-b59afd2d-77e9-4ad7-bf38-30a2da1a85ec.jpg)

It doesn't have any other side effect that I know, but the notification is too frequent and annoying. Maybe you can fix it via update or maybe recommend to install an older version of STN

Please answer. Thanks in advance.
"
1029;History not recording;open;2021-11-04T23:58:31Z;2022-06-04T19:24:11Z;https://github.com/yuliskov/SmartTubeNext/issues/1029;14;"Hi,

I have only recently started using SmartTubeNext and I have noticed that the history isn’t recording when using STN. It seems to record 4 videos and then when I watch another video it then removes the 4th video.

What’s strange is that all my other history shows from 13th Oct back but I haven’t been using STN for that long. I’ve probably been using it for about a week now. Also if I watch a video half way and come back to it a few hours later it will pick up where it left off but not show in my history.

I’m using version 13.42 beta on an NVIDIA Shield.

Are there any known issues with this?

Thanks"
471;Release on F-Droid;open;2021-02-14T16:41:44Z;2021-09-09T06:26:29Z;https://github.com/yuliskov/SmartTubeNext/issues/471;14;"I was searching for [SmartTubeNext on F-Droid](https://search.f-droid.org/?q=smart+tube) but I was unable to find it.
IMHO [the license](https://github.com/yuliskov/SmartTubeNext/blob/master/LICENSE.md) should be fine but I don't know about the dependencies.

It would be great if you could make SmartTubeNext available on F-Droid.

**PS:** Thank you for creating SmartTubeNext :pray: 
**PPS:** If you are considering to publish SmartTubeNext on F-Droid, you probably might be interested [the FAQ](https://f-droid.org/en/docs/FAQ_-_App_Developers/#how-do-i-get-my-app-included) and maybe [this guide](https://dev.to/sanandmv7/how-to-publish-your-apps-on-f-droid-2epn)
**PPPS:** I'm not an Android developer or related to F-Droid. So I don't know about technical limitations in case there are some."
385;Sponsorblock - missing options;open;2021-01-26T17:36:08Z;2021-03-02T02:51:38Z;https://github.com/yuliskov/SmartTubeNext/issues/385;14;"1. ~~It is only blocking sponsors segments and not the other five types you can block from what I can see. Like intros.~~
2. It isn't highlighting the section's on the progress bar.
3. ~~Update settings to enable/disable segments, enable/disable notification~~
4. Setting to temporarily disable sponsorblock skip when manually seeking
5. overhaul confirmation dialog. auto timeout dialog based on (segment length - 3 seconds). Maybe don't skip segments below 3 seconds if the dialog option was chosen.
6. a way for smoother skips? maybe don't cache skippable sections and cache ahead?


"
1649;"Clock and date to US Style ""12hr/mm.dd,yy""";closed;2022-06-28T23:22:31Z;2022-07-20T14:09:32Z;https://github.com/yuliskov/SmartTubeNext/issues/1649;13;"~~Cards on some clips (without special still card set - try Reuters for example), have a thick black border around the image. This is happening **only** on STN and STN Beta. YT web, app or other apps are fine. v15.05 fixed the card animation, but the thumbnail thick black border is still there.~~  Solved

Also, just since v15.05 update, STN Beta clock has permanently changed to 12hr setup, permanently displaying that annoying AM/PM indication both on main screen and also on player. My app and regional country settings are all set for 24hrs clock. There is no other app in my TV that shows 12hr clock. Only STN, since v15.05. @yuliskov, please please revert this setting at least how it was before this update, or make it an optional setting. #1639 
Update: Looks like an Country setting work in progress, Country setting is changing time/date behaviour.
"
680;11.37 sudden video download error;open;2021-06-18T03:22:41Z;2021-06-23T12:57:03Z;https://github.com/yuliskov/SmartTubeNext/issues/680;13;"Android TV 9: Same issue as everyone else with the black screen. 11.37 fixed it but after an hour of watching videos ""can't download video"" persists on random videos. It was functional earlier but just randomly stopped working"
602;Playback error on nearly all videos;open;2021-04-29T15:54:59Z;2021-05-29T20:31:55Z;https://github.com/yuliskov/SmartTubeNext/issues/602;13;"Hi,
Almost every time I launch a video I get a decoding error for a few seconds then the video starts. It's starting to become really annoying, is there a way to resolve that? 
I'm on a Nvidia Shield"
596;Cannot watch age restricted videos;open;2021-04-24T21:19:24Z;2022-04-05T01:48:37Z;https://github.com/yuliskov/SmartTubeNext/issues/596;13;"I am getting an age restricted prompt when trying to watch age restricted videos. I do have the age set in my account settings. Age restricted videos work in browser with that account, but in SmartTube I am blocked off by the age restriction. Is there any way to fix this? Perhaps add age restriction as a switch to the options?

SmartTubeNext version 11.3"
592;failed  to  install the  newest  version on  mi box;open;2021-04-24T07:20:44Z;2021-08-01T12:12:02Z;https://github.com/yuliskov/SmartTubeNext/issues/592;13;"![IMG_20210424_101751](https://user-images.githubusercontent.com/25093437/115950872-6bb4c180-a510-11eb-8b73-40650aefc0fb.jpg)
failed  to  install the  newest version  on   
mi  box?Anyone  knows?"
358;when i upgrade the newest version today, it crashes whenever i launch the app.;open;2021-01-20T15:24:01Z;2021-01-29T13:29:34Z;https://github.com/yuliskov/SmartTubeNext/issues/358;13;could you fixit?
17;Feature request: List of subscribed channels;closed;2020-10-18T10:00:06Z;2021-05-07T12:47:36Z;https://github.com/yuliskov/SmartTubeNext/issues/17;13;Please add a list of subscribed channels in the subscription menu so we can preselect by channel. 
2390;Permanently deactivate Auto Play next Video?;open;2023-04-09T11:34:01Z;2023-05-06T15:53:20Z;https://github.com/yuliskov/SmartTubeNext/issues/2390;12;"Since one of the last updates, the app no longer remembers what it is supposed to do at the end of the video.
Normally, I had it set to stop after the end of the video and not to play the next video.
Now, every time the app is started, the videos are no longer stopped at the end, but auto-play is active.
Is there a way to change this in the settings, or is this a bug in the software?"
